sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
18098;SDS011;9176;54.152;19.439;2019-01-01T00:00:03;37.07;;;12.87;;
840;SDS011;406;48.566;13.450;2019-01-01T00:00:03;47.33;;;24.05;;
18204;SDS011;9228;50.941;5.330;2019-01-01T00:00:03;50.43;;;25.50;;
13743;SDS011;6943;52.367;9.967;2019-01-01T00:00:03;51.63;;;36.07;;
17931;SDS011;9091;52.457;13.316;2019-01-01T00:00:03;55.1;;;49.6;;
16282;SDS011;8249;48.708;9.030;2019-01-01T00:00:03;571.63;;;398.53;;
13683;SDS011;6914;53.552;9.908;2019-01-01T00:00:03;57.60;;;36.10;;
1090;SDS011;534;48.705;9.121;2019-01-01T00:00:03;59.27;;;42.40;;
13635;SDS011;6891;50.943;4.393;2019-01-01T00:00:03;7.40;;;6.37;;
10542;SDS011;5320;50.046;10.315;2019-01-01T00:00:03;74.80;;;47.63;;
16981;SDS011;8607;-33.869;151.175;2019-01-01T00:00:03;7.75;;;2.62;;
17361;SDS011;8798;51.938;4.347;2019-01-01T00:00:03;85.37;;;46.30;;
6529;SDS011;3298;42.689;23.366;2019-01-01T00:00:04;114.63;;;55.87;;
16768;SDS011;8502;52.131;4.618;2019-01-01T00:00:04;117.13;;;49.77;;
19241;SDS011;9755;47.790;9.620;2019-01-01T00:00:04;1260.23;;;479.63;;
10216;SDS011;5152;59.674;16.838;2019-01-01T00:00:04;12.70;;;4.73;;
9609;SDS011;4843;50.871;4.698;2019-01-01T00:00:04;14.57;;;12.07;;
7623;SDS011;3853;42.697;23.335;2019-01-01T00:00:04;145.90;;;67.37;;
10405;SDS011;5249;48.931;9.476;2019-01-01T00:00:04;152.47;;;109.10;;
3237;SDS011;1631;48.906;9.270;2019-01-01T00:00:04;153.77;;;118.70;;
5772;SDS011;2912;52.223;11.005;2019-01-01T00:00:04;15.75;;;8.18;;
7116;SDS011;3600;48.568;7.870;2019-01-01T00:00:04;158.57;;;127.92;;
4634;SDS011;2330;48.158;11.815;2019-01-01T00:00:04;176.65;;;131.20;;
3875;SDS011;1953;51.222;6.624;2019-01-01T00:00:04;184.27;;;93.60;;
18485;SDS011;9372;50.148;8.171;2019-01-01T00:00:04;185.83;;;122.97;;
9461;SDS011;4769;42.660;23.263;2019-01-01T00:00:04;188.43;;;111.47;;
11439;SDS011;5776;51.814;4.511;2019-01-01T00:00:04;19.23;;;11.57;;
7567;SDS011;3825;53.021;13.706;2019-01-01T00:00:04;1999.90;;;999.90;;
7797;SDS011;3943;48.780;9.392;2019-01-01T00:00:04;219.17;;;144.00;;
19066;SDS011;9666;42.650;23.304;2019-01-01T00:00:04;230.30;;;135.87;;
8759;SDS011;4416;42.119;24.778;2019-01-01T00:00:04;23.47;;;19.23;;
19495;SDS011;9888;48.605;9.629;2019-01-01T00:00:04;23.50;;;13.60;;
18356;SDS011;9306;51.827;4.250;2019-01-01T00:00:04;235.27;;;133.83;;
5452;SDS011;2749;53.577;9.822;2019-01-01T00:00:04;25.40;;;17.30;;
15635;SDS011;7917;50.818;6.971;2019-01-01T00:00:04;276.92;;;149.00;;
17627;SDS011;8932;50.000;8.261;2019-01-01T00:00:04;285.10;;;143.60;;
6963;SDS011;3522;50.856;7.277;2019-01-01T00:00:04;285.47;;;161.17;;
7793;SDS011;3941;48.027;7.812;2019-01-01T00:00:04;288.33;;;195.10;;
19041;SDS011;9653;53.480;9.699;2019-01-01T00:00:04;30.77;;;17.63;;
16448;SDS011;8334;52.150;9.939;2019-01-01T00:00:04;31.63;;;19.43;;
9729;SDS011;4904;49.151;11.004;2019-01-01T00:00:04;31.63;;;19.73;;
16011;SDS011;8110;49.252;8.905;2019-01-01T00:00:04;320.43;;;234.20;;
4132;SDS011;2080;51.037;7.007;2019-01-01T00:00:04;333.70;;;191.77;;
16703;SDS011;8468;49.858;6.114;2019-01-01T00:00:04;3.83;;;2.00;;
